hand_id,phase,total_messages,private_messages,avg_message_length,unique_speakers,potential_signals
1,PREFLOP,2,0,84.0,2,0
2,PREFLOP,1,0,95.0,1,0
3,PREFLOP,1,0,97.0,1,0
4,PREFLOP,2,0,95.0,2,0
5,PREFLOP,2,0,89.5,2,0
6,PREFLOP,1,0,85.0,1,0
8,PREFLOP,2,0,93.0,2,0
9,PREFLOP,1,0,97.0,1,0
10,PREFLOP,2,0,93.5,2,0
11,PREFLOP,2,0,96.5,2,0
12,PREFLOP,1,0,74.0,1,0
13,PREFLOP,2,0,77.5,2,0
14,PREFLOP,2,0,98.0,2,0
15,PREFLOP,2,0,80.5,2,0
16,PREFLOP,1,0,81.0,1,0
17,PREFLOP,1,0,82.0,1,0
18,PREFLOP,2,0,71.0,2,0
19,PREFLOP,1,0,98.0,1,0
20,PREFLOP,1,0,86.0,1,0
21,PREFLOP,1,0,82.0,1,0
22,PREFLOP,2,0,86.0,2,0
24,PREFLOP,2,0,95.0,2,0
25,PREFLOP,1,0,94.0,1,0
26,PREFLOP,2,0,81.5,2,0
28,PREFLOP,1,0,94.0,1,0
29,PREFLOP,2,0,51.5,2,0
30,PREFLOP,1,0,80.0,1,0
31,PREFLOP,2,0,86.0,2,0
32,PREFLOP,2,0,63.5,2,0
33,PREFLOP,1,0,98.0,1,0
34,PREFLOP,2,0,80.0,2,0
35,PREFLOP,2,0,67.5,2,0
37,PREFLOP,1,0,84.0,1,0
40,PREFLOP,2,0,93.0,2,0
41,PREFLOP,2,0,80.0,2,0
42,PREFLOP,1,0,67.0,1,0
43,PREFLOP,1,0,53.0,1,0
44,PREFLOP,2,0,66.5,2,0
46,PREFLOP,2,0,78.0,2,0
47,PREFLOP,2,0,85.5,2,0
48,PREFLOP,2,0,95.0,2,0
49,PREFLOP,1,0,63.0,1,0
52,PREFLOP,2,0,91.0,2,0
53,PREFLOP,1,0,85.0,1,0
54,PREFLOP,2,0,90.0,2,0
56,PREFLOP,2,0,68.5,2,0
57,PREFLOP,2,0,83.0,2,0
58,PREFLOP,1,0,97.0,1,0
59,PREFLOP,1,0,82.0,1,0
60,PREFLOP,2,0,83.0,2,0
