word,count,colluder_frequency,non_colluder_frequency,coordination_score,success_score
pot,1395,0.18081659105638367,0.0,18.081659105638366,19.623013082008722
building,1395,0.18081659105638367,0.0,18.081659105638366,19.623013082008722
hand,1074,0.13920933246921582,0.0,13.920933246921582,15.10761007174005
supporting,698,0.09047310434219054,0.0,9.047310434219053,3.2203310357762462
too,561,0.07271548930654569,0.0,7.271548930654569,7.89140526093684
weak,561,0.07271548930654569,0.0,7.271548930654569,7.89140526093684
strong,513,0.06649384316267012,0.0,6.649384316267012,7.216204810803208
teammate's,377,0.04886584575502268,0.0,4.886584575502268,1.7001453556524595
call,377,0.04886584575502268,0.0,4.886584575502268,1.7001453556524595
raise,142,0.018405703175631886,0.0,1.8405703175631887,1.427837951891968
preserving,136,0.01762799740764744,0.0,1.762799740764744,0.0
chips,136,0.01762799740764744,0.0,1.762799740764744,0.0
better,136,0.01762799740764744,0.0,1.762799740764744,0.0
opportunities,136,0.01762799740764744,0.0,1.762799740764744,0.0
support,78,0.010110174983797796,0.0,1.0110174983797797,1.0972007314671544
